Designator,Qty,Value,Exclude from BOM,Footprint,LCSC
R5,1,20K,,Resistor_SMD:R_0805_2012Metric,C4328
Q2,1,SS8550,,Package_TO_SOT_SMD:SOT-23,C8542
"C4,C6",2,10uF,,Capacitor_SMD:C_0805_2012Metric,C15850
"R1,R2,R3,R4",4,100,,Resistor_SMD:R_0805_2012Metric,C17408
R7,1,10K,,Resistor_SMD:R_0805_2012Metric,C17414
R6,1,8.2K,,Resistor_SMD:R_0805_2012Metric,C17828
"C1,C2,C3,C5,C7",5,0.1uF,,Capacitor_SMD:C_0805_2012Metric,C49678
L1,1,3.3uH,,Inductor_SMD:L_0603_1608Metric,C275346
J2,1,MJ-3523-SMT-TR,,CUI_MJ-3523:CUI_MJ-3523-SMT-TR,C4992553
U2,1,HX711,,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C6705483
